Timestamp,Acc_X,Acc_Y,Acc_Z,Acc_Betrag,Ori_X,Ori_Y,Ori_Z,Ori_Betrag
1735572558363,47,8,1010,1011.1246213993604,9191,-4033,17857,20484.43357771945
1735572558363,12,12,953,953.1510898068574,9196,-4161,16085,18989.66987601417
1735572558382,12,12,953,953.1510898068574,9266,-4275,14260,17535.164128116965
1735572558412,12,12,953,953.1510898068574,9355,-4371,12424,16154.796253744582
1735572558442,43,-33,1052,1053.3954623027385,9454,-4441,10578,14865.88984891251
1735572558472,43,-33,1052,1053.3954623027385,9567,-4484,8763,13726.759049389626
1735572558502,43,-33,1052,1053.3954623027385,9670,-4503,6945,12728.665837392386
1735572558532,43,-33,1052,1053.3954623027385,9760,-4501,5128,11908.525727393799
1735572558562,58,119,979,987.9099149213961,9752,-4496,3365,11253.388156462035
1735572558592,58,119,979,987.9099149213961,9704,-4502,1607,10817.489033967171
1735572558622,58,119,979,987.9099149213961,9667,-4518,-152,10671.753229905571
1735572558652,-38,-34,904,905.4369111097692,9765,-4523,-2070,10958.90751854399
1735572558682,-38,-34,904,905.4369111097692,9990,-4465,-4115,11690.575263861056
1735572558712,-38,-34,904,905.4369111097692,10149,-4359,-6139,12636.866818954768
1735572558742,40,90,965,970.012886512339,10208,-4226,-8105,13702.312396088479
1735572558772,40,90,965,970.012886512339,10012,-4141,-9901,14677.11913149171
1735572558802,40,90,965,970.012886512339,9833,-4097,-11699,15822.133200046068
1735572558832,40,90,965,970.012886512339,9677,-4093,-13500,17106.927777950077
1735572558862,-15,58,1084,1085.654180667122,9635,-4106,-15402,18625.62925111525
1735572558892,-15,58,1084,1085.654180667122,9624,-4122,-17326,20243.58011815104
1735572558922,-15,58,1084,1085.654180667122,9620,-4139,16747,19751.904465139556
1735572558953,-44,69,1011,1014.306659743492,9565,-4161,14895,18184.173640833942
1735572558983,-44,69,1011,1014.306659743492,9506,-4198,13060,16689.84241986724
1735572559012,-44,69,1011,1014.306659743492,9469,-4245,11220,15283.009716675573
1735572559043,9,89,1016,1019.9303897815772,9474,-4297,9349,13986.589505665776
1735572559072,9,89,1016,1019.9303897815772,9479,-4350,7484,12836.829709862166
1735572559102,9,89,1016,1019.9303897815772,9499,-4400,5613,11878.41614020994
1735572559132,9,89,1016,1019.9303897815772,9529,-4445,3737,11159.078590994868
1735572559162,-42,8,1012,1012.9027593999338,9724,-4478,1756,10848.603412421342
1735572559192,-42,8,1012,1012.9027593999338,9922,-4456,-240,10879.320750855726
1735572559222,-42,8,1012,1012.9027593999338,10072,-4392,-2227,11211.350364697377
1735572559253,85,34,979,983.2710714752062,10151,-4316,-4156,11787.408239303499
1735572559282,85,34,979,983.2710714752062,10133,-4258,-5984,12514.651773021893
1735572559312,85,34,979,983.2710714752062,10102,-4204,-7806,13440.8949106821
1735572559342,-65,30,980,982.6113168491395,10067,-4157,-9642,14546.247007389913
1735572559372,-65,30,980,982.6113168491395,10132,-4072,-11668,15980.63928633645
1735572559402,-65,30,980,982.6113168491395,10157,-3975,-13681,17496.71497738933
1735572559432,-65,30,980,982.6113168491395,10146,-3875,-15685,19078.15939759389
1735572559462,71,-28,1018,1020.8569929231028,9982,-3850,-17428,20449.890170854218
1735572559492,71,-28,1018,1020.8569929231028,9833,-3869,16873,19908.670950116182
1735572559522,71,-28,1018,1020.8569929231028,9716,-3919,15171,18436.877664073167
1735572559553,-81,-37,1044,1047.791009696113,9696,-3974,13354,16974.5223202304
1735572559583,-81,-37,1044,1047.791009696113,9773,-4000,11394,15534.953009262694
1735572559612,-81,-37,1044,1047.791009696113,9842,-4009,9434,14210.468007775113
1735572559642,-31,33,967,968.0593990040074,9877,-3999,7492,13026.019883295126
1735572559675,-31,33,967,968.0593990040074,9773,-4005,5637,11971.938982470634
1735572559703,-31,33,967,968.0593990040074,9691,-4034,3778,11156.250310924366
1735572559732,-31,33,967,968.0593990040074,9633,-4080,1915,10635.239254478482
1735572559763,61,60,972,975.7586791825119,9624,-4155,88,10482.993131734847
1735572559792,61,60,972,975.7586791825119,9612,-4239,-1710,10643.484626756408
