Timestamp,X,Y,Z
1735156879.364761,-272,-208,-966
1735156879.395295,-272,-208,-966
1735156879.4228978,-272,-208,-966
1735156879.4533608,-272,-208,-961
1735156879.5135412,-272,-208,-961
1735156879.543479,-278,-226,-954
1735156879.5723572,-278,-226,-954
1735156879.6033869,-278,-226,-954
1735156879.633666,-277,-219,-955
1735156879.664382,-275,-212,-955
1735156879.6954901,-275,-212,-955
1735156879.725387,-275,-212,-955
1735156879.7528021,-269,-232,-957
1735156879.813322,-269,-232,-957
1735156879.843086,-260,-237,-923
1735156879.8732271,-260,-237,-923
1735156879.9029188,-260,-237,-923
1735156879.933641,-61,-216,-923
1735156879.963396,137,-194,-924
1735156879.994973,137,-194,-924
1735156880.022603,137,-194,-924
1735156880.0525498,-666,199,-1642
1735156880.082508,-666,199,-1642
1735156880.142308,-85,77,-343
1735156880.172297,-85,77,-343
1735156880.2033012,-85,77,-343
1735156880.233599,19,-39,-208
1735156880.26546,125,-155,-73
1735156880.295129,125,-155,-73
1735156880.325165,125,-155,-73
1735156880.3528361,210,-135,-23
1735156880.383392,210,-135,-23
1735156880.413162,210,-135,-23
1735156880.4434402,803,-181,104
1735156880.472747,803,-181,104
1735156880.5031612,803,-181,104
1735156880.533874,703,-228,128
1735156880.565501,602,-275,151
1735156880.594901,602,-275,151
1735156880.622577,602,-275,151
1735156880.653209,954,-241,9
1735156880.6833851,954,-241,9
1735156880.7126458,954,-241,9
1735156880.743532,981,-244,47
1735156880.772592,981,-244,47
1735156880.803398,981,-244,47
1735156880.833644,983,-250,54
1735156880.862968,984,-257,61
1735156880.893773,984,-257,61
1735156880.9227278,984,-257,61
1735156880.953383,980,-268,69
1735156880.98261,980,-268,69
1735156881.013334,980,-268,69
1735156881.0436091,976,-271,73
1735156881.0726552,976,-271,73
1735156881.103403,976,-271,73
1735156881.133662,971,-271,73
1735156881.1655,966,-271,73
1735156881.195883,966,-271,73
1735156881.22544,966,-271,73
1735156881.2552829,973,-265,65
1735156881.283272,973,-265,65
1735156881.3133981,973,-265,65
1735156881.342587,969,-263,67
1735156881.373784,969,-263,67
1735156881.4031491,969,-263,67
1735156881.4338508,970,-262,64
1735156881.465725,971,-261,60
1735156881.49369,971,-261,60
1735156881.5234041,971,-261,60
1735156881.5539289,973,-261,65
1735156881.582644,973,-261,65
1735156881.613419,973,-261,65
1735156881.642532,964,-272,75
1735156881.673258,964,-272,75
1735156881.702494,964,-272,75
1735156881.7336519,967,-274,71
1735156881.765567,970,-275,66
1735156881.795944,970,-275,66
1735156881.825176,970,-275,66
1735156881.852862,969,-261,68
1735156881.8833501,969,-261,68
1735156881.9131331,969,-261,68
1735156881.942531,972,-268,66
1735156881.973313,972,-268,66
1735156882.002476,972,-268,66
1735156882.0338812,968,-264,67
1735156882.065462,968,-264,67
1735156882.095551,968,-264,67
1735156882.125449,968,-264,67
1735156882.15312,969,-272,62
1735156882.1834822,969,-272,62
1735156882.212621,969,-272,62
1735156882.243505,973,-263,75
1735156882.272649,973,-263,75
1735156882.30322,973,-263,75
1735156882.333689,961,-269,77
1735156882.366113,961,-269,77
1735156882.3970299,961,-269,77
1735156882.423289,961,-269,77
1735156882.453451,975,-267,70
1735156882.483362,975,-267,70
1735156882.512487,975,-267,70
1735156882.545347,970,-265,71
1735156882.5729961,970,-265,71
1735156882.603284,970,-265,71
1735156882.633667,971,-268,79
1735156882.6657028,971,-268,79
1735156882.695462,971,-268,79
1735156882.725062,971,-268,79
1735156882.7523541,976,-266,65
1735156882.783412,976,-266,65
1735156882.812499,976,-266,65
1735156882.843372,975,-268,66
1735156882.8725078,975,-268,66
1735156882.903605,975,-268,66
1735156882.9326458,973,-272,69
1735156882.965751,973,-272,69
1735156882.995565,973,-272,69
1735156883.025161,973,-272,69
1735156883.053094,974,-264,70
1735156883.0834339,974,-264,70
1735156883.1124742,974,-264,70
1735156883.143538,975,-260,66
1735156883.172595,975,-260,66
1735156883.20342,975,-260,66
1735156883.2338939,978,-275,71
1735156883.265534,978,-275,71
1735156883.298687,978,-275,71
1735156883.325504,978,-275,71
1735156883.355214,971,-273,65
1735156883.3829591,971,-273,65
1735156883.413302,971,-273,65
1735156883.4425468,978,-269,64
1735156883.473258,978,-269,64
1735156883.5032032,978,-269,64
1735156883.533712,977,-270,69
1735156883.562874,977,-270,69
1735156883.595621,977,-270,69
1735156883.625151,973,-270,69
1735156883.6529229,970,-271,69
1735156883.6832829,970,-271,69
1735156883.712387,970,-271,69
1735156883.743392,974,-272,68
1735156883.772426,974,-272,68
1735156883.803303,974,-272,68
1735156883.833649,972,-271,67
1735156883.865524,972,-271,67
1735156883.8955488,972,-271,67
1735156883.925386,971,-265,71
1735156883.953086,969,-258,75
1735156883.9833758,969,-258,75
1735156884.013579,969,-258,75
1735156884.0425248,983,-264,75
1735156884.073455,983,-264,75
1735156884.102567,983,-264,75
1735156884.133566,976,-276,68
1735156884.165442,976,-276,68
1735156884.1954849,976,-276,68
1735156884.225352,975,-273,67
1735156884.252995,974,-270,67
1735156884.2835279,974,-270,67
1735156884.312555,974,-270,67
1735156884.343411,975,-268,60
