Timestamp,X,Y,Z
1735157383.158944,39,-172,605
1735157383.1886458,-227,-318,1009
1735157383.2194839,-227,-318,1009
1735157383.249129,-227,-318,1009
1735157383.3101802,-27,-427,1246
1735157383.338984,-27,-427,1246
1735157383.370353,-21,-415,1282
1735157383.401508,-16,-402,1319
1735157383.429373,-16,-402,1319
1735157383.459647,-16,-402,1319
1735157383.488904,-94,-423,887
1735157383.519938,-94,-423,887
1735157383.548841,-94,-423,887
1735157383.578826,40,-343,462
1735157383.6087549,40,-343,462
1735157383.638779,40,-343,462
1735157383.669121,42,-228,532
1735157383.699755,43,-112,602
1735157383.729922,43,-112,602
1735157383.758822,43,-112,602
1735157383.78963,19,-158,1098
1735157383.8187,19,-158,1098
1735157383.849427,19,-158,1098
1735157383.8788679,-76,-74,1175
1735157383.909512,-76,-74,1175
1735157383.938813,-76,-74,1175
1735157383.972824,-26,-74,1181
1735157384.000308,22,-75,1188
1735157384.03151,22,-75,1188
1735157384.059166,22,-75,1188
1735157384.089848,164,-452,1515
1735157384.118985,164,-452,1515
1735157384.149676,164,-452,1515
1735157384.1788642,-135,-47,561
1735157384.209708,-135,-47,561
1735157384.239254,-135,-47,561
1735157384.27002,16,-189,866
1735157384.301776,168,-331,1172
1735157384.331746,168,-331,1172
1735157384.3593721,168,-331,1172
1735157384.388885,-5,-101,543
1735157384.419646,-5,-101,543
1735157384.4499068,-5,-101,543
1735157384.478886,-115,-127,710
1735157384.5096629,-115,-127,710
1735157384.539683,-115,-127,710
1735157384.57055,-254,-248,863
1735157384.6005719,-392,-368,1016
1735157384.63176,-392,-368,1016
1735157384.661792,-392,-368,1016
1735157384.691468,-234,-445,1223
1735157384.7192729,-234,-445,1223
1735157384.749561,-234,-445,1223
1735157384.778719,-188,-144,688
1735157384.8096662,-188,-144,688
1735157384.839798,-188,-144,688
1735157384.8687181,-267,-254,786
1735157384.8986912,-346,-365,884
1735157384.9318988,-346,-365,884
1735157384.961696,-346,-365,884
1735157384.99147,280,-73,891
1735157385.019506,280,-73,891
1735157385.0495648,280,-73,891
1735157385.078896,294,-1,958
1735157385.109536,294,-1,958
1735157385.1395562,294,-1,958
1735157385.169573,192,-92,983
1735157385.1996832,89,-182,1009
1735157385.229839,89,-182,1009
1735157385.262097,89,-182,1009
1735157385.291599,174,-455,1236
1735157385.319629,174,-455,1236
1735157385.349864,174,-455,1236
1735157385.37902,288,-530,950
1735157385.4098618,288,-530,950
1735157385.4399319,288,-530,950
1735157385.468647,272,-469,919
1735157385.4995499,272,-469,919
1735157385.531786,272,-469,919
1735157385.561569,272,-469,919
1735157385.5918121,356,-225,752
1735157385.6191099,356,-225,752
1735157385.650008,356,-225,752
1735157385.67892,402,-263,1119
1735157385.70992,402,-263,1119
1735157385.739452,402,-263,1119
1735157385.769811,359,-360,1028
1735157385.79926,359,-360,1028
1735157385.831156,359,-360,1028
1735157385.8621461,359,-360,1028
1735157385.891728,211,-471,943
1735157385.919542,211,-471,943
1735157385.950125,211,-471,943
1735157385.9790232,-124,-540,874
1735157386.0098639,-124,-540,874
1735157386.039619,-124,-540,874
1735157386.0699542,-271,-279,758
1735157386.099115,-271,-279,758
1735157386.1305401,-271,-279,758
1735157386.161082,-271,-279,758
1735157386.1889548,-175,-395,1012
1735157386.2198029,-175,-395,1012
1735157386.249929,-175,-395,1012
1735157386.280152,-266,-525,791
1735157386.308897,-266,-525,791
1735157386.340132,-266,-525,791
1735157386.369118,-272,-379,642
1735157386.400131,-272,-379,642
1735157386.4304,-272,-379,642
1735157386.461504,-272,-379,642
1735157386.4893901,-286,-301,854
1735157386.51976,-286,-301,854
1735157386.548841,-286,-301,854
1735157386.579564,-139,-185,1050
1735157386.608995,-139,-185,1050
1735157386.638839,-139,-185,1050
1735157386.6699898,-87,-141,1174
1735157386.699726,-87,-141,1174
1735157386.732085,-87,-141,1174
1735157386.761848,-11,-161,1233
1735157386.791703,64,-182,1293
1735157386.819426,64,-182,1293
1735157386.849667,64,-182,1293
1735157386.879192,204,-297,1162
1735157386.909634,204,-297,1162
1735157386.938891,204,-297,1162
1735157386.968821,59,-296,871
1735157386.9991739,59,-296,871
1735157387.030256,59,-296,871
1735157387.060014,56,-285,837
1735157387.090146,53,-274,803
1735157387.118795,53,-274,803
1735157387.148628,53,-274,803
1735157387.179517,-73,-102,609
1735157387.209596,-73,-102,609
1735157387.240105,-73,-102,609
1735157387.268901,-62,-134,804
1735157387.299763,-62,-134,804
1735157387.331973,-62,-134,804
1735157387.361053,-133,-192,864
1735157387.3890932,-203,-250,925
1735157387.4196649,-203,-250,925
1735157387.448817,-203,-250,925
1735157387.479852,-203,-369,1114
1735157387.50896,-203,-369,1114
1735157387.539619,-203,-369,1114
1735157387.5688362,-152,-359,967
1735157387.599926,-152,-359,967
1735157387.629997,-152,-359,967
1735157387.6612532,-161,-376,940
1735157387.691463,-170,-393,914
1735157387.7193239,-170,-393,914
1735157387.7496262,-170,-393,914
1735157387.778773,-70,-218,753
1735157387.8095841,-70,-218,753
1735157387.839854,-70,-218,753
1735157387.8688672,-10,-176,982
1735157387.899595,-10,-176,982
1735157387.9306629,-10,-176,982
1735157387.961843,-42,-123,994
1735157387.9916081,-75,-70,1006
1735157388.019534,-75,-70,1006
1735157388.04967,-75,-70,1006
1735157388.079859,42,-137,1233
1735157388.109578,42,-137,1233
1735157388.1387799,42,-137,1233
