Timestamp,X,Y,Z
1735157104.7261062,-1105,-574,98
1735157104.755517,-1105,-574,98
1735157104.786022,1664,-1002,-308
1735157104.815126,1664,-1002,-308
1735157104.8460329,1664,-1002,-308
1735157104.875505,681,-1762,-209
1735157104.9082508,681,-1762,-209
1735157104.936706,681,-1762,-209
1735157104.968023,681,-1762,-209
1735157104.9956071,-1429,472,-450
1735157105.026056,-1429,472,-450
1735157105.056098,-1429,472,-450
1735157105.085192,-653,-499,-212
1735157105.116129,-653,-499,-212
1735157105.1458108,-653,-499,-212
1735157105.1754398,-490,451,-854
1735157105.206646,-490,451,-854
1735157105.2359529,-490,451,-854
1735157105.267927,-225,546,-627
1735157105.295532,38,642,-400
1735157105.3262541,38,642,-400
1735157105.355335,38,642,-400
1735157105.3855581,-132,991,178
1735157105.415478,-132,991,178
1735157105.445645,-132,991,178
1735157105.475483,-189,-2000,1390
1735157105.506988,-189,-2000,1390
1735157105.536864,-189,-2000,1390
1735157105.568276,115,0,1695
1735157105.596171,421,1999,1999
1735157105.626521,421,1999,1999
1735157105.655626,421,1999,1999
1735157105.6862788,1999,-2000,-2000
1735157105.715792,1999,-2000,-2000
1735157105.7463942,1999,-2000,-2000
1735157105.808576,1999,1423,1325
1735157105.838628,1999,1423,1325
1735157105.8682182,1342,1711,896
1735157105.895929,685,1999,466
1735157105.926209,685,1999,466
1735157105.9560719,685,1999,466
1735157105.9863338,1040,-2000,-2000
1735157106.01556,1040,-2000,-2000
1735157106.0763361,1785,1999,1999
1735157106.106872,1785,1999,1999
1735157106.166859,1559,0,0
1735157106.1958039,1333,-2000,-2000
1735157106.256356,1333,-2000,-2000
1735157106.316253,1999,1598,1999
1735157106.345479,1999,1598,1999
1735157106.376299,1092,-275,-2000
1735157106.4383922,1092,-275,-2000
1735157106.496078,1999,262,-804
1735157106.525416,1999,262,-804
1735157106.556064,1999,262,-804
1735157106.5853288,1999,1999,1999
1735157106.616064,1999,1999,1999
1735157106.645559,1999,1999,1999
1735157106.675893,1330,-2000,-2000
1735157106.707687,1330,-2000,-2000
1735157106.7374349,1330,-2000,-2000
1735157106.7979321,296,1999,1999
1735157106.825807,296,1999,1999
1735157106.856055,296,1999,1999
1735157106.885302,916,-135,-2000
1735157106.916151,916,-135,-2000
1735157106.9463942,916,-135,-2000
1735157106.975332,534,1999,1005
1735157107.006277,534,1999,1005
1735157107.037981,534,1999,1005
1735157107.0679839,178,1306,285
1735157107.095739,-176,613,-433
1735157107.126106,-176,613,-433
1735157107.155377,-176,613,-433
1735157107.186028,1903,1347,1999
1735157107.21607,1903,1347,1999
1735157107.2455838,1903,1347,1999
1735157107.2762969,-1142,831,-920
1735157107.306562,-1142,831,-920
1735157107.36816,-11,874,71
1735157107.39544,1118,918,1063
1735157107.426157,1118,918,1063
1735157107.4561658,1118,918,1063
1735157107.485447,1725,-317,1999
1735157107.516118,1725,-317,1999
1735157107.545969,1725,-317,1999
1735157107.5753012,-2000,135,-2000
1735157107.606729,-2000,135,-2000
1735157107.666543,1999,884,1999
1735157107.6954172,1999,884,1999
1735157107.725454,1999,884,1999
1735157107.7554932,1999,884,1999
1735157107.785392,1334,165,880
1735157107.815298,1334,165,880
1735157107.845728,1334,165,880
1735157107.8756428,-2000,174,-1854
1735157107.906751,-2000,174,-1854
1735157107.936191,-2000,174,-1854
1735157107.965771,-430,1897,1999
1735157107.996214,-430,1897,1999
1735157108.025331,-430,1897,1999
1735157108.056041,-430,1897,1999
1735157108.085356,1383,-2000,-2000
1735157108.146295,1383,-2000,-2000
1735157108.2082298,-1720,1999,1999
1735157108.2381,-1720,1999,1999
1735157108.268179,1272,-734,1449
1735157108.326185,1272,-734,1449
1735157108.3555572,1272,-734,1449
1735157108.386185,1999,-2000,-2000
1735157108.4459362,1999,-2000,-2000
1735157108.506819,18,1249,1999
1735157108.5364108,18,1249,1999
1735157108.568067,1846,55,1428
1735157108.596083,1846,55,1428
1735157108.6261141,1846,55,1428
1735157108.655356,1846,55,1428
1735157108.686058,1382,-958,-1588
1735157108.7154372,1382,-958,-1588
1735157108.746233,1382,-958,-1588
1735157108.8063538,532,268,759
1735157108.83962,532,268,759
1735157108.868265,437,618,222
1735157108.895809,437,618,222
1735157108.9261901,437,618,222
1735157108.956218,437,618,222
1735157108.985306,1999,-721,-921
1735157109.016094,1999,-721,-921
1735157109.076191,795,1066,-2000
1735157109.1074922,795,1066,-2000
1735157109.166413,890,1999,-1371
1735157109.22607,890,1999,-1371
1735157109.256031,304,0,314
1735157109.28549,-282,-2000,1999
1735157109.316262,-282,-2000,1999
1735157109.346325,-282,-2000,1999
1735157109.406631,729,827,-1291
1735157109.4358249,729,827,-1291
1735157109.468251,1671,1999,-2000
1735157109.4978938,1671,1999,-2000
1735157109.525755,1671,1999,-2000
1735157109.556246,707,0,-50
1735157109.585213,-256,-2000,1898
1735157109.616103,-256,-2000,1898
1735157109.645396,-256,-2000,1898
1735157109.676091,30,-990,57
1735157109.708311,30,-990,57
